PCT Code,PCT Name,Type 1 10/11 prev,Type 2 10/11 prev,All 10/11 prev,hba1c,bmi,bp,albumin,creatinine,cholesterol,eyeexam,footexam,smoking,allcareprocesses,hba1c<6.5,hba1c<=7.5,hba1c<=10,chol<4,chol<5,bptarget,bp140/80,alltargets
5HG,"Ashton, Leigh And Wigan PCT",0.0053,0.0524,0.0600,0.9173,0.8994,0.9474,0.8326,0.9220,0.9070,0.8815,0.8384,0.8848,0.6609,0.3995,0.7311,0.9466,0.4349,0.7974,0.3797,0.4651,0.2490
5C2,Barking And Dagenham PCT,0.0028,0.0429,0.0470,0.8959,0.8772,0.9460,0.7122,0.9103,0.9014,0.8226,0.8495,0.8411,0.5123,0.2502,0.6253,0.8948,0.4142,0.7913,0.3160,0.4090,0.1718
5A9,Barnet PCT,0.0035,0.0414,0.0456,0.9013,0.8820,0.9422,0.7387,0.9110,0.9031,0.8396,0.8360,0.8140,0.5549,0.3031,0.6721,0.9270,0.4203,0.7860,0.3782,0.4586,0.2280
5JE,Barnsley PCT,0.0041,0.0485,0.0533,0.9295,0.9032,0.9514,0.7695,0.9338,0.9216,0.8069,0.8421,0.8853,0.5750,0.3531,0.7038,0.9352,0.4268,0.7936,0.3823,0.4727,0.2344
5ET,Bassetlaw PCT,0.0038,0.0455,0.0495,0.9513,0.9212,0.9717,0.8064,0.9431,0.9108,0.8595,0.8699,0.9104,0.6353,0.2057,0.6364,0.9383,0.4339,0.7834,0.3326,0.4160,0.1780
5FL,Bath And North East Somerset PCT,0.0044,0.0318,0.0372,0.9374,0.9084,0.9562,0.7395,0.9475,0.9291,0.8604,0.8577,0.8824,0.5729,0.2884,0.6701,0.9478,0.3746,0.7699,0.3523,0.4380,0.1992
5P2,Bedfordshire PCT,0.0040,0.0397,0.0443,0.9230,0.9095,0.9556,0.7137,0.9298,0.9151,0.8303,0.8641,0.7765,0.4868,0.2178,0.6045,0.9163,0.3784,0.7539,0.3433,0.4098,0.1794
5QG,Berkshire East PCT,0.0037,0.0393,0.0437,0.9211,0.9082,0.9525,0.8214,0.9334,0.9177,0.8197,0.8611,0.8795,0.6421,0.2147,0.6165,0.9094,0.3975,0.7715,0.3512,0.4344,0.1856
5QF,Berkshire West PCT,0.0038,0.0291,0.0333,0.9194,0.8930,0.9441,0.4707,0.9204,0.9089,0.8012,0.8469,0.8497,0.3444,0.1763,0.5775,0.9095,0.3522,0.7628,0.3739,0.4456,0.1855
TAK,Bexley Care Trust,0.0037,0.0430,0.0478,0.8886,0.8821,0.9246,0.7575,0.8894,0.8742,0.8026,0.7946,0.8560,0.5972,0.2931,0.6877,0.9328,0.3412,0.7497,0.3298,0.4210,0.1864
