PCT Code,PCT Description,Total expected DKA,Observed DKA,Standardised ratio,lower 95% confidence interval,upper 95%  confidence interval
Eng,England,"8,195","8,164",100,98,102
5A3,South Gloucestershire PCT,43,32,74,50,104
5A4,Havering PCT,10,10,97,47,179
5A5,Kingston PCT,*,*,*,*,*
5A7,Bromley PCT,46,60,129,99,166
5A8,Greenwich Teaching PCT,12,17,143,83,228
5A9,Barnet PCT,46,34,73,51,102
5AT,Hillingdon PCT,50,54,107,81,140
5C1,Enfield PCT,18,29,161,108,231
5C2,Barking & Dagenham PCT,39,28,72,48,104
5C3,City & Hackney Teaching PCT,40,35,88,62,123
5C4,Tower Hamlets PCT,54,26,48,31,70
5C5,Newham PCT,80,55,69,52,90
5C9,Haringey Teaching PCT,31,28,91,60,131
5CN,Herefordshire PCT,26,17,66,38,106
5CQ,Milton Keynes PCT,51,53,105,78,137
5D7,Newcastle PCT,51,49,96,71,126
5D8,North Tyneside PCT,44,43,98,71,133
5D9,Hartlepool PCT,8,16,195,111,316
5.00E+01,North Tees PCT,32,39,120,86,165
5EF,North Lincolnshire PCT,30,42,140,101,190
5EM,Nottingham City PCT,68,80,118,94,147
5ET,Bassetlaw PCT,19,20,108,66,166
5F1,Plymouth Teaching PCT,50,70,139,109,176
5F5,Salford PCT,46,59,129,98,166
5F7,Stockport PCT,45,47,105,77,139
5FE,Portsmouth City Teaching PCT,39,48,124,91,164
5FL,Bath & North East Somerset PCT,28,26,92,60,135
5GC,Luton PCT,40,33,83,57,116
5H1,Hammersmith & Fulham PCT,28,34,120,83,167
5H8,Rotherham PCT,49,43,88,64,118
5HG,"Ashton, Leigh & Wigan PCT",57,60,106,81,136
5HP,Blackpool PCT,27,44,166,121,223
5HQ,Bolton PCT,17,19,110,67,173
5HX,Ealing PCT,52,38,74,52,101
5HY,Hounslow PCT,45,32,71,48,100
5J2,Warrington PCT,29,41,143,102,193
5J4,Knowsley PCT,33,47,144,106,192
5J5,Oldham PCT,47,52,111,83,146
5J6,Calderdale PCT,35,31,88,60,125
5J9,Darlington PCT,17,24,144,92,215
5JE,Barnsley PCT,49,35,72,50,100
5JX,Bury PCT,33,35,107,75,149
5K3,Swindon PCT,38,55,146,110,190
5K5,Brent Teaching PCT,62,46,74,54,98
5K6,Harrow PCT,37,25,68,44,100
5K7,Camden PCT,32,25,77,50,114
5K8,Islington PCT,36,36,100,70,139
5K9,Croydon PCT,54,46,86,63,115
5KF,Gateshead PCT,40,52,129,96,169
5KG,South Tyneside PCT,31,42,135,97,182
5KL,Sunderland Teaching PCT,32,49,153,113,202
5KM,Middlesbrough PCT,31,43,138,100,186
5L1,Southampton City PCT,44,41,92,66,125
5L3,Medway PCT,56,62,111,85,143
