PCT Code,PCT Description,Total expected - Major Amputation,Observed - Major Amputation,Standardised ratio,Standardised ratio lower 95% confidence interval,Standardised ratio upper 95% confidence interval,Additional risk of complication among people with diabetes
Eng,England,541,"1,680",311,296,326,2.11
5A3,South Gloucestershire PCT,2,10,451,216,830,3.51
5A4,Havering PCT,*,*, * , * , * ,*
5A5,Kingston PCT,0,0, -   , -   , -   , -   
5A7,Bromley PCT,3,7,230,93,475,1.30
5A8,Greenwich Teaching PCT,*,*, * , * , * ,*
5A9,Barnet PCT,*,*, * , * , * ,*
5AT,Hillingdon PCT,*,*, * , * , * ,*
5C1,Enfield PCT,1,6,628,230,"1,366",5.28
5C2,Barking & Dagenham PCT,*,*, * , * , * ,*
5C3,City & Hackney Teaching PCT,2,7,281,113,580,1.81
5C4,Tower Hamlets PCT,*,*, * , * , * ,*
5C5,Newham PCT,6,8,136,59,268,0.36
5C9,Haringey Teaching PCT,2,6,275,101,598,1.75
5CN,Herefordshire PCT,2,7,372,150,766,2.72
5CQ,Milton Keynes PCT,2,9,398,182,755,2.98
5D7,Newcastle PCT,3,8,237,102,467,1.37
5D8,North Tyneside PCT,3,8,304,131,598,2.04
5D9,Hartlepool PCT,*,*, * , * , * ,*
5.00E+01,North Tees PCT,*,*, * , * , * ,*
5EF,North Lincolnshire PCT,2,6,394,145,858,2.94
5EM,Nottingham City PCT,*,*, * , * , * ,*
5ET,Bassetlaw PCT,*,*, * , * , * ,*
5F1,Plymouth Teaching PCT,6,17,277,161,444,1.77
5F5,Salford PCT,4,7,173,70,356,0.73
5F7,Stockport PCT,3,15,430,241,710,3.30
5FE,Portsmouth City Teaching PCT,3,13,421,224,720,3.21
5FL,Bath & North East Somerset PCT,1,7,504,203,"1,039",4.04
5GC,Luton PCT,*,*, * , * , * ,*
5H1,Hammersmith & Fulham PCT,*,*, * , * , * ,*
5H8,Rotherham PCT,*,*, * , * , * ,*
5HG,"Ashton, Leigh & Wigan PCT",3,13,400,213,684,3.00
5HP,Blackpool PCT,4,12,306,158,535,2.06
5HQ,Bolton PCT,*,*, * , * , * ,*
5HX,Ealing PCT,*,*, * , * , * ,*
5HY,Hounslow PCT,*,*, * , * , * ,*
5J2,Warrington PCT,2,7,394,159,813,2.94
5J4,Knowsley PCT,3,14,410,224,688,3.10
5J5,Oldham PCT,3,7,248,100,511,1.48
5J6,Calderdale PCT,2,8,369,159,727,2.69
5J9,Darlington PCT,2,8,424,183,835,3.24
5JE,Barnsley PCT,4,7,182,73,375,0.82
5JX,Bury PCT,3,7,268,108,553,1.68
5K3,Swindon PCT,2,7,377,152,778,2.77
5K5,Brent Teaching PCT,*,*, * , * , * ,*
5K6,Harrow PCT,*,*, * , * , * ,*
5K7,Camden PCT,1,6,499,183,"1,086",3.99
5K8,Islington PCT,*,*, * , * , * ,*
5K9,Croydon PCT,*,*, * , * , * ,*
5KF,Gateshead PCT,3,13,372,198,637,2.72
5KG,South Tyneside PCT,*,*, * , * , * ,*
5KL,Sunderland Teaching PCT,*,*, * , * , * ,*
5KM,Middlesbrough PCT,2,7,353,142,727,2.53
5L1,Southampton City PCT,3,11,419,209,750,3.19
5L3,Medway PCT,4,10,227,109,417,1.27
5LA,Kensington & Chelsea PCT,*,*, * , * , * ,*
5LC,Westminster PCT,1,6,421,154,916,3.21
5LD,Lambeth PCT,*,*, * , * , * ,*
5LE,Southwark PCT,*,*, * , * , * ,*
5LF,Lewisham PCT,2,7,426,171,877,3.26
5LG,Wandsworth PCT,2,6,260,95,566,1.60
5LH,Tameside & Glossop PCT,4,10,282,135,518,1.82
5LQ,Brighton & Hove City PCT,2,8,433,187,854,3.33
5M1,South Birmingham PCT,3,10,326,157,600,2.26
5M2,Shropshire County PCT,*,*, * , * , * ,*
5M3,Walsall Teaching PCT,4,16,369,211,599,2.69
5M6,Richmond & Twickenham PCT,*,*, * , * , * ,*
5M7,Sutton & Merton PCT,4,15,363,203,598,2.63
5M8,North Somerset PCT,2,10,549,263,"1,010",4.49
5MD,Coventry Teaching PCT,3,10,316,152,582,2.16
5MK,Telford & Wrekin PCT,*,*, * , * , * ,*
5MV,Wolverhampton City PCT,6,17,279,163,447,1.79
5MX,Heart of Birmingham Teaching PCT,4,8,206,89,405,1.06
5N1,Leeds PCT,7,20,305,186,470,2.05
5N2,Kirklees PCT,6,12,213,110,373,1.13
5N3,Wakefield District PCT,6,14,239,130,400,1.39
5N4,Sheffield PCT,6,19,339,204,530,2.39
5N5,Doncaster PCT,*,*, * , * , * ,*
5N6,Derbyshire County PCT,9,27,297,196,432,1.97
5N7,Derby City PCT,5,18,337,200,533,2.37
5N8,Nottinghamshire County Teaching PCT,7,28,405,269,586,3.05
5N9,Lincolnshire Teaching PCT,10,22,213,134,323,1.13
5NA,Redbridge PCT,*,*, * , * , * ,*
5NC,Waltham Forest PCT,2,8,350,151,690,2.50
5ND,County Durham PCT,9,34,398,276,556,2.98
5NE,Cumbria PCT,5,16,317,181,514,2.17
5NF,North Lancashire PCT,7,17,259,151,415,1.59
5NG,Central Lancashire PCT,5,11,225,113,403,1.25
5NH,East Lancashire Teaching PCT,6,19,322,194,503,2.22
5NJ,Sefton PCT,3,10,297,143,547,1.97
5NK,Wirral PCT,4,14,349,191,586,2.49
5NL,Liverpool PCT,6,12,207,107,362,1.07
5NM,Halton & St Helens PCT,*,*, * , * , * ,*
5NN,Western Cheshire PCT,3,11,338,169,605,2.38
5NP,Central & Eastern Cheshire PCT,5,13,287,153,491,1.87
5NQ,"Heywood, Middleton & Rochdale PCT",*,*, * , * , * ,*
5NR,Trafford PCT,2,6,279,102,607,1.79
5NT,Manchester PCT,4,13,333,177,570,2.33
5NV,North Yorkshire & York PCT,10,35,367,256,511,2.67
5NW,East Riding of Yorkshire PCT,3,13,407,217,696,3.07
5NX,Hull Teaching PCT,5,18,329,195,519,2.29
5NY,Bradford & Airedale Teaching PCT,9,23,247,157,371,1.47
5P1,South East Essex PCT,4,11,268,134,480,1.68
5P2,Bedfordshire PCT,2,9,448,205,851,3.48
5P5,Surrey PCT,9,29,323,217,464,2.23
5P6,West Sussex PCT,9,31,335,228,476,2.35
5P7,East Sussex Downs & Weald PCT,*,*, * , * , * ,*
5P8,Hastings & Rother PCT,*,*, * , * , * ,*
5P9,West Kent PCT,7,27,370,244,538,2.70
5PA,Leicestershire County & Rutland PCT,6,14,245,134,412,1.45
5PC,Leicester City PCT,5,12,239,124,418,1.39
5PD,Northamptonshire Teaching PCT,8,21,275,170,421,1.75
5PE,Dudley PCT,3,7,238,96,491,1.38
5PF,Sandwell PCT,6,18,282,167,446,1.82
5PG,Birmingham East & North PCT,3,9,266,122,506,1.66
5PH,North Staffordshire PCT,4,8,211,91,416,1.11
5PJ,Stoke on Trent PCT,5,18,330,196,522,2.30
5PK,South Staffordshire PCT,3,10,361,173,664,2.61
5PL,Worcestershire PCT,3,14,405,221,679,3.05
5PM,Warwickshire PCT,4,14,349,191,585,2.49
5PN,Peterborough PCT,2,6,340,125,741,2.40
